image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,1.711000,0.002400,1.904700,3.618100,1.000000,195
test_512x512.pgm,512,512,262144,openmp,12,0.992800,0.003300,0.480600,1.476700,2.450125,195
test_512x512.pgm,512,512,262144,cuda,0,135.299805,0.003600,0.356500,135.659905,0.026670,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,6.507700,0.002400,6.867900,13.378000,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,12,1.877300,0.003500,1.476300,3.357100,3.984987,62
test_1024x1024.pgm,1024,1024,1048576,cuda,0,0.667900,0.003800,0.594000,1.265700,10.569645,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,32.072900,0.003800,32.392700,64.469400,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,12,4.878700,0.003400,3.880500,8.762600,7.357337,62
test_2048x2048.pgm,2048,2048,4194304,cuda,0,1.303500,0.004400,1.441000,2.748900,23.452799,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,47.361000,0.002600,49.571900,96.935500,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,12,13.781100,0.003400,13.851200,27.635700,3.507619,57
test_3840x2160.pgm,3840,2160,8294400,cuda,0,2.001800,0.003900,2.661500,4.667200,20.769519,57
