image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,0.126800,0.000900,0.171400,0.299100,1.000000,195
test_512x512.pgm,512,512,262144,openmp,12,0.646900,0.001100,0.109300,0.757300,0.394956,195
test_512x512.pgm,512,512,262144,cuda,0,146.188797,0.001100,0.347200,146.537097,0.002041,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,0.678300,0.001100,1.079400,1.758800,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,12,0.391200,0.000800,0.368200,0.760200,2.313602,62
test_1024x1024.pgm,1024,1024,1048576,cuda,0,0.819800,0.001200,0.590400,1.411400,1.246139,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,2.597500,0.001000,4.797200,7.395700,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,12,0.600300,0.000900,1.510100,2.111300,3.502913,62
test_2048x2048.pgm,2048,2048,4194304,cuda,0,1.946500,0.001300,1.617100,3.564900,2.074588,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,4.987000,0.001000,8.121500,13.109500,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,12,1.480000,0.000800,2.549600,4.030400,3.252655,57
test_3840x2160.pgm,3840,2160,8294400,cuda,0,2.369900,0.001200,3.075700,5.446800,2.406826,57
