image,width,height,total_pixels,method,threads,histogram_ms,otsu_ms,thresholding_ms,total_ms,speedup,otsu_threshold
test_512x512.pgm,512,512,262144,sequential,1,0.126000,0.000900,0.191400,0.318300,1.000000,195
test_512x512.pgm,512,512,262144,openmp,8,0.428500,0.000900,0.132900,0.562300,0.566068,195
test_512x512.pgm,512,512,262144,cuda,0,179.824799,0.001400,0.570700,180.396899,0.001764,195
test_1024x1024.pgm,1024,1024,1048576,sequential,1,0.669800,0.001100,1.272000,1.942900,1.000000,62
test_1024x1024.pgm,1024,1024,1048576,openmp,8,3.482500,0.001000,0.770800,4.254300,0.456691,62
test_1024x1024.pgm,1024,1024,1048576,cuda,0,0.838200,0.001300,0.704200,1.543700,1.258599,62
test_2048x2048.pgm,2048,2048,4194304,sequential,1,3.549100,0.001000,4.992300,8.542400,1.000000,62
test_2048x2048.pgm,2048,2048,4194304,openmp,8,8.430400,0.000900,4.260100,12.691400,0.673086,62
test_2048x2048.pgm,2048,2048,4194304,cuda,0,1.408000,0.001200,1.692500,3.101700,2.754103,62
test_3840x2160.pgm,3840,2160,8294400,sequential,1,4.964400,0.001000,8.370600,13.336000,1.000000,57
test_3840x2160.pgm,3840,2160,8294400,openmp,8,1.105800,0.000800,2.687900,3.794500,3.514561,57
test_3840x2160.pgm,3840,2160,8294400,cuda,0,2.656200,0.001700,3.104900,5.762800,2.314153,57
